Actions,Actions Url,WIID,Description,Type,Status,Date
,https://acme-test.uipath.com/work-items/106991908,106991908,Generate Yearly Report for Vendor,WI4,Completed,2019-11-16
,https://acme-test.uipath.com/work-items/106991895,106991895,Generate Yearly Report for Vendor,WI4,Completed,2019-07-03
,https://acme-test.uipath.com/work-items/106991905,106991905,Generate Yearly Report for Vendor,WI4,Completed,2023-03-27
,https://acme-test.uipath.com/work-items/106991891,106991891,Generate Yearly Report for Vendor,WI4,Completed,2023-02-05
,https://acme-test.uipath.com/work-items/106991906,106991906,Generate Yearly Report for Vendor,WI4,Completed,2019-10-29
,https://acme-test.uipath.com/work-items/106991902,106991902,Generate Yearly Report for Vendor,WI4,Completed,2019-07-30
,https://acme-test.uipath.com/work-items/106991899,106991899,Generate Yearly Report for Vendor,WI4,Completed,2019-08-12
,https://acme-test.uipath.com/work-items/106991892,106991892,Generate Yearly Report for Vendor,WI4,Completed,2023-06-28
,https://acme-test.uipath.com/work-items/106991903,106991903,Generate Yearly Report for Vendor,WI4,Completed,2025-04-10
,https://acme-test.uipath.com/work-items/106991894,106991894,Generate Yearly Report for Vendor,WI4,Completed,2020-08-14
,https://acme-test.uipath.com/work-items/106991893,106991893,Generate Yearly Report for Vendor,WI4,Open,2018-05-12
,https://acme-test.uipath.com/work-items/106991901,106991901,Generate Yearly Report for Vendor,WI4,Open,2017-09-23
,https://acme-test.uipath.com/work-items/106991896,106991896,Generate Yearly Report for Vendor,WI4,Open,2022-05-09
,https://acme-test.uipath.com/work-items/106991898,106991898,Generate Yearly Report for Vendor,WI4,Open,2023-02-12
,https://acme-test.uipath.com/work-items/106991907,106991907,Generate Yearly Report for Vendor,WI4,Open,2025-07-25
,https://acme-test.uipath.com/work-items/106991900,106991900,Generate Yearly Report for Vendor,WI4,Open,2023-09-07
,https://acme-test.uipath.com/work-items/106991897,106991897,Generate Yearly Report for Vendor,WI4,Open,2018-03-14
,https://acme-test.uipath.com/work-items/106991904,106991904,Generate Yearly Report for Vendor,WI4,Open,2024-07-15
